	Size	EntryBar	ExitBar	EntryPrice	ExitPrice	SL	TP	PnL	Commission	ReturnPct	EntryTime	ExitTime	Duration	Tag	Entry_bbands_lo…(C,31,2)	Exit_bbands_lo…(C,31,2)	Entry_bbands_up…(C,31,2)	Exit_bbands_up…(C,31,2)
0	1019	110	121	0.978552	0.987579			5.191538022000007	4.006974978000001	0.0052064049738798045	2025-01-05 14:00:00	2025-01-06 01:00:00	0 days 11:00:00		0.9747264511994219	0.9753721325567959	0.9857608391231588	0.9876847061528815
1	1024	159	349	0.9794280000000001	0.9895989999999999			6.382536703999815	4.032567296	0.006363863397819751	2025-01-07 15:00:00	2025-01-15 13:00:00	7 days 22:00:00		0.9868148844894739	0.9534566148844065	1.0347995026073002	0.9809859657607548
2	976	454	462	1.0340610000000001	1.075162			35.99737270399984	4.117203296	0.0356676772453461	2025-01-19 22:00:00	2025-01-20 06:00:00	0 days 08:00:00		1.0325925780538576	1.007564292737192	1.0611272283977555	1.0767809330692601
3	1012	528	542	1.033001	1.052121			15.129153072000026	4.220286928	0.014472160239922306	2025-01-23 00:00:00	2025-01-23 14:00:00	0 days 14:00:00		1.030912084438829	1.0108156012504177	1.070959915561171	1.059319753588292
4	1014	621	710	1.045615	1.059258			9.565319556000073	4.2686824439999995	0.009021727882633751	2025-01-26 21:00:00	2025-01-30 14:00:00	3 days 17:00:00		1.045576411944733	1.012393152555104	1.0525910074101055	1.0655440732513477
5	1026	729	735	1.04252	1.05438			7.8655212000002095	4.3028388	0.007353527989871004	2025-01-31 09:00:00	2025-01-31 15:00:00	0 days 06:00:00		1.0392600272089145	1.0380153021839607	1.06045165021044	1.059634310719265
6	1050	738	3079	1.026243	1.0363			6.228509699999981	4.3313403	0.005780223592268017	2025-01-31 18:00:00	2025-05-09 07:00:00	97 days 13:00:00		1.0345153014437658	0.9733973907711753	1.0606893437175247	1.0455938995514051
7	1054	3158	3185	1.028144	1.042588			10.85887294400013	4.365103056000001	0.010020518526587913	2025-05-12 14:00:00	2025-05-13 17:00:00	1 days 03:00:00		1.0343071532863013	1.0149388572524862	1.049368008004021	1.0441744330700944
8	1060	3206	3242	1.032652	1.0419610000000001			5.469360440000247	4.39817956	0.004996624225780004	2025-05-14 14:00:00	2025-05-16 02:00:00	1 days 12:00:00		1.0295924947640127	1.0157098550319905	1.0463660213650197	1.044983370774461
9	1070	3265	3295	1.028237	1.0392789999999998			7.3904557599997585	4.42448424	0.006717291830579754	2025-05-17 01:00:00	2025-05-18 07:00:00	1 days 06:00:00		1.0306904719122598	1.0268074467113133	1.0434056571199983	1.03783565006288
10	1084	3318	3319	1.0219989999999999	1.032221			6.62709904000019	4.45354896	0.005981962800355053	2025-05-19 06:00:00	2025-05-19 07:00:00	0 days 01:00:00		1.0219448135654485	1.0218033399660362	1.061323573531326	1.0613640793888022
11	1021	3419	3487	1.090853	1.10089			5.772237793999848	4.4755392060000005	0.0051826543081421525	2025-05-23 11:00:00	2025-05-26 07:00:00	2 days 20:00:00		1.1002806321555083	1.0615152883206709	1.1198731097799761	1.1021766471632
12	1033	3505	3511	1.083966	1.095397			7.305659041999968	4.502563958	0.006524442648570082	2025-05-27 01:00:00	2025-05-27 07:00:00	0 days 06:00:00		1.0798644079675295	1.0851885100167573	1.1059888178389221	1.1025048448219525
13	1036	3538	3837	1.08834	1.09978			7.3180553599998905	4.53378464	0.0064903982211440905	2025-05-28 10:00:00	2025-06-09 21:00:00	12 days 11:00:00		1.0829449293210083	1.0431076060411526	1.103015457775766	1.0914956842814283
14	1042	3882	4401	1.088082	1.0993789999999999			7.2128052759998855	4.558668724	0.006361724575905054	2025-06-11 18:00:00	2025-07-03 09:00:00	21 days 15:00:00		1.0867352100864387	1.0633527149601396	1.1025138221716257	1.105579865685022
15	1050	4424	4555	1.087601	1.117518			26.782100099999973	4.6307499	0.023452315692979203	2025-07-04 08:00:00	2025-07-09 19:00:00	5 days 11:00:00		1.0853959596220464	1.0776537457642619	1.102054621023115	1.1015826413325127
16	997	4623	4644	1.17112	1.184285			8.428827430000092	4.69667757	0.0072188930254799225	2025-07-12 15:00:00	2025-07-13 12:00:00	0 days 21:00:00		1.1711015153037019	1.1704259889377586	1.1832286137285564	1.1831129788041768
17	1004	4683	4710	1.171581	1.182728			6.464135528000018	4.7274524719999995	0.00549546467551118	2025-07-15 03:00:00	2025-07-16 06:00:00	1 days 03:00:00		1.1742084857245778	1.159301616510961	1.2319113207270351	1.1884426415535545
18	1004	4740	4745	1.1786860000000001	1.192666			9.27424518399988	4.761674816	0.00783694385103404	2025-07-17 12:00:00	2025-07-17 17:00:00	0 days 05:00:00		1.177420543657497	1.1777345785933426	1.1965391337618576	1.196652518180851
19	1009	4766	4831	1.181321	1.193652			7.649283485999868	4.792695514	0.006417437766703486	2025-07-18 14:00:00	2025-07-21 07:00:00	2 days 17:00:00		1.176679457921978	1.1718316408652105	1.2075119614328604	1.1904719075218868
20	1024	4842	4856	1.1714710000000002	1.182999			6.982717439999755	4.82195456	0.0058209379489546	2025-07-21 18:00:00	2025-07-22 08:00:00	0 days 14:00:00		1.1712970434834529	1.1643605360435256	1.193487859742354	1.1943641091177646
21	1028	4885	4887	1.173761	1.185781			7.505341647999916	4.851218352	0.006220104433525927	2025-07-23 13:00:00	2025-07-23 15:00:00	0 days 02:00:00		1.1757079911688755	1.1761657517847925	1.2010521378633827	1.2009184417635945
22	1028	4889	4989	1.181479	1.192759			6.7144066719999564	4.881433328	0.005528260764685625	2025-07-23 17:00:00	2025-07-27 21:00:00	4 days 04:00:00		1.1749084078424246	1.1750341634408406	1.2012092050608012	1.1912324817204496
23	1038	5009	5019	1.17672	1.187696			6.484560384000099	4.908527616000001	0.0053089672989325995	2025-07-28 17:00:00	2025-07-29 03:00:00	0 days 10:00:00		1.1777844824779318	1.173853920680348	1.1987026142962618	1.1988379502873936
24	1046	5031	5054	1.1738410000000001	1.187119			8.949659679999897	4.93912832	0.007288959918762322	2025-07-29 15:00:00	2025-07-30 14:00:00	0 days 23:00:00		1.1743714193145425	1.1717551415600704	1.1924722581048122	1.1891158261818648
25	1061	5058	5063	1.165239	1.178364			8.952499434000057	4.973125566	0.007241256085661495	2025-07-30 18:00:00	2025-07-30 23:00:00	0 days 05:00:00		1.1702363900891193	1.169272711660805	1.18769567442701	1.186268449629517
